customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0002-ORFBO,Female,0,No,No,14,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),39.3,191.49,No
0002-ORFBO,Female,0,No,No,34,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,56.95,2015.39,No
0002-ORFBO,Female,0,No,No,13,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),64.72,113.7,No
7795-CFOCW,Female,0,No,No,51,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),46.28,1998.8,No
0002-ORFBO,Female,0,No,No,15,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),70.7,265.02,No
0002-ORFBO,Female,0,No,No,8,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),99.65,1128.78,No
0002-ORFBO,Female,0,No,Yes,32,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),88.03,1967.89,No
0002-ORFBO,Female,0,No,No,18,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),40.84,380.66,No
0002-ORFBO,Female,0,No,No,28,No,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),106.21,3046.05,No
0002-ORFBO,Female,0,No,No,77,No,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),65.38,3459.44,No
9763-GRSKD,Female,0,No,No,13,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),57.73,780.27,No
0002-ORFBO,Female,0,No,No,24,Yes,No,DSL,No,No internet service,No internet service,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),26.99,567.28,No
0002-ORFBO,Female,0,No,No,64,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),109.87,5656.86,No
0002-ORFBO,Female,0,No,No,60,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),114.93,5293.57,Yes
0002-ORFBO,Female,0,No,No,42,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,106.13,3035.66,No
3655-SNQYZ,Female,0,No,No,83,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),116.49,7872.7,No
